Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 2,719,132
Topli start iz: /home/tomi/code/dipl/custom_models/student_yolo26n/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.2319
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   5950 | epoch   7/100 | loss 0.5831 | feat 0.1247 | cls 0.1886 | box 0.2698 | lr 4.97e-04
  iter   6000 | epoch   7/100 | loss 0.5842 | feat 0.1247 | cls 0.1892 | box 0.2703 | lr 4.97e-04
  iter   6050 | epoch   7/100 | loss 0.5852 | feat 0.1247 | cls 0.1896 | box 0.2709 | lr 4.97e-04
  iter   6100 | epoch   7/100 | loss 0.5849 | feat 0.1246 | cls 0.1897 | box 0.2706 | lr 4.97e-04
  iter   6150 | epoch   7/100 | loss 0.5851 | feat 0.1246 | cls 0.1899 | box 0.2706 | lr 4.97e-04
  iter   6200 | epoch   7/100 | loss 0.5855 | feat 0.1246 | cls 0.1902 | box 0.2707 | lr 4.97e-04
  iter   6250 | epoch   7/100 | loss 0.5858 | feat 0.1246 | cls 0.1904 | box 0.2708 | lr 4.97e-04
  iter   6300 | epoch   7/100 | loss 0.5858 | feat 0.1245 | cls 0.1904 | box 0.2709 | lr 4.97e-04
[epoch   7] train_loss=0.5861 feat=0.1245 cls=0.1906 box=0.2709 (172.5s)
[epoch   7] validating...
[epoch   7] val_resp=0.5922 (cls=0.2663 box=0.3259) | val_mAP@50:95=0.2642 mAP@50=0.4585 (25.6s)
[epoch   7] new best (val_mAP@50:95 = 0.2642)
  iter   6350 | epoch   8/100 | loss 0.5746 | feat 0.1257 | cls 0.1848 | box 0.2642 | lr 4.97e-04
  iter   6400 | epoch   8/100 | loss 0.5677 | feat 0.1243 | cls 0.1804 | box 0.2630 | lr 4.97e-04
  iter   6450 | epoch   8/100 | loss 0.5658 | feat 0.1237 | cls 0.1802 | box 0.2619 | lr 4.97e-04
  iter   6500 | epoch   8/100 | loss 0.5657 | feat 0.1238 | cls 0.1796 | box 0.2623 | lr 4.97e-04
  iter   6550 | epoch   8/100 | loss 0.5667 | feat 0.1238 | cls 0.1800 | box 0.2629 | lr 4.96e-04
  iter   6600 | epoch   8/100 | loss 0.5671 | feat 0.1238 | cls 0.1804 | box 0.2629 | lr 4.96e-04
  iter   6650 | epoch   8/100 | loss 0.5683 | feat 0.1237 | cls 0.1813 | box 0.2633 | lr 4.96e-04
  iter   6700 | epoch   8/100 | loss 0.5692 | feat 0.1238 | cls 0.1816 | box 0.2637 | lr 4.96e-04
  iter   6750 | epoch   8/100 | loss 0.5707 | feat 0.1240 | cls 0.1824 | box 0.2643 | lr 4.96e-04
  iter   6800 | epoch   8/100 | loss 0.5713 | feat 0.1241 | cls 0.1829 | box 0.2643 | lr 4.96e-04
  iter   6850 | epoch   8/100 | loss 0.5719 | feat 0.1241 | cls 0.1832 | box 0.2646 | lr 4.96e-04
  iter   6900 | epoch   8/100 | loss 0.5727 | feat 0.1241 | cls 0.1837 | box 0.2649 | lr 4.96e-04
  iter   6950 | epoch   8/100 | loss 0.5731 | feat 0.1241 | cls 0.1839 | box 0.2651 | lr 4.96e-04
  iter   7000 | epoch   8/100 | loss 0.5738 | feat 0.1241 | cls 0.1842 | box 0.2655 | lr 4.96e-04
  iter   7050 | epoch   8/100 | loss 0.5742 | feat 0.1241 | cls 0.1846 | box 0.2655 | lr 4.96e-04
  iter   7100 | epoch   8/100 | loss 0.5747 | feat 0.1241 | cls 0.1849 | box 0.2657 | lr 4.96e-04
  iter   7150 | epoch   8/100 | loss 0.5746 | feat 0.1241 | cls 0.1849 | box 0.2656 | lr 4.96e-04
  iter   7200 | epoch   8/100 | loss 0.5746 | feat 0.1240 | cls 0.1850 | box 0.2656 | lr 4.95e-04
[epoch   8] train_loss=0.5746 feat=0.1240 cls=0.1848 box=0.2658 (169.1s)
  iter   7250 | epoch   9/100 | loss 0.5449 | feat 0.1225 | cls 0.1724 | box 0.2500 | lr 4.95e-04
  iter   7300 | epoch   9/100 | loss 0.5503 | feat 0.1230 | cls 0.1730 | box 0.2542 | lr 4.95e-04
  iter   7350 | epoch   9/100 | loss 0.5529 | feat 0.1232 | cls 0.1738 | box 0.2559 | lr 4.95e-04
  iter   7400 | epoch   9/100 | loss 0.5548 | feat 0.1233 | cls 0.1749 | box 0.2567 | lr 4.95e-04
  iter   7450 | epoch   9/100 | loss 0.5535 | feat 0.1233 | cls 0.1740 | box 0.2562 | lr 4.95e-04
  iter   7500 | epoch   9/100 | loss 0.5554 | feat 0.1234 | cls 0.1749 | box 0.2571 | lr 4.95e-04
  iter   7550 | epoch   9/100 | loss 0.5565 | feat 0.1234 | cls 0.1753 | box 0.2577 | lr 4.95e-04
  iter   7600 | epoch   9/100 | loss 0.5582 | feat 0.1236 | cls 0.1762 | box 0.2584 | lr 4.95e-04
  iter   7650 | epoch   9/100 | loss 0.5589 | feat 0.1236 | cls 0.1764 | box 0.2589 | lr 4.95e-04
  iter   7700 | epoch   9/100 | loss 0.5606 | feat 0.1236 | cls 0.1773 | box 0.2597 | lr 4.95e-04
  iter   7750 | epoch   9/100 | loss 0.5619 | feat 0.1236 | cls 0.1780 | box 0.2603 | lr 4.94e-04
  iter   7800 | epoch   9/100 | loss 0.5622 | feat 0.1235 | cls 0.1780 | box 0.2607 | lr 4.94e-04
  iter   7850 | epoch   9/100 | loss 0.5624 | feat 0.1236 | cls 0.1781 | box 0.2608 | lr 4.94e-04
  iter   7900 | epoch   9/100 | loss 0.5623 | feat 0.1236 | cls 0.1783 | box 0.2605 | lr 4.94e-04
  iter   7950 | epoch   9/100 | loss 0.5631 | feat 0.1236 | cls 0.1786 | box 0.2609 | lr 4.94e-04
  iter   8000 | epoch   9/100 | loss 0.5638 | feat 0.1236 | cls 0.1790 | box 0.2611 | lr 4.94e-04
  iter   8050 | epoch   9/100 | loss 0.5638 | feat 0.1236 | cls 0.1792 | box 0.2610 | lr 4.94e-04
  iter   8100 | epoch   9/100 | loss 0.5638 | feat 0.1236 | cls 0.1794 | box 0.2609 | lr 4.94e-04
[epoch   9] train_loss=0.5642 feat=0.1236 cls=0.1796 box=0.2611 (171.2s)
  iter   8150 | epoch  10/100 | loss 0.5455 | feat 0.1213 | cls 0.1724 | box 0.2518 | lr 4.94e-04
  iter   8200 | epoch  10/100 | loss 0.5441 | feat 0.1225 | cls 0.1674 | box 0.2542 | lr 4.94e-04
  iter   8250 | epoch  10/100 | loss 0.5474 | feat 0.1227 | cls 0.1687 | box 0.2560 | lr 4.94e-04
  iter   8300 | epoch  10/100 | loss 0.5461 | feat 0.1227 | cls 0.1684 | box 0.2550 | lr 4.93e-04
  iter   8350 | epoch  10/100 | loss 0.5479 | feat 0.1229 | cls 0.1695 | box 0.2556 | lr 4.93e-04
  iter   8400 | epoch  10/100 | loss 0.5487 | feat 0.1229 | cls 0.1704 | box 0.2554 | lr 4.93e-04
  iter   8450 | epoch  10/100 | loss 0.5478 | feat 0.1228 | cls 0.1702 | box 0.2548 | lr 4.93e-04
  iter   8500 | epoch  10/100 | loss 0.5470 | feat 0.1228 | cls 0.1701 | box 0.2541 | lr 4.93e-04
  iter   8550 | epoch  10/100 | loss 0.5480 | feat 0.1229 | cls 0.1704 | box 0.2547 | lr 4.93e-04
  iter   8600 | epoch  10/100 | loss 0.5489 | feat 0.1228 | cls 0.1712 | box 0.2549 | lr 4.93e-04
  iter   8650 | epoch  10/100 | loss 0.5502 | feat 0.1228 | cls 0.1718 | box 0.2555 | lr 4.93e-04
  iter   8700 | epoch  10/100 | loss 0.5508 | feat 0.1230 | cls 0.1722 | box 0.2556 | lr 4.93e-04
  iter   8750 | epoch  10/100 | loss 0.5511 | feat 0.1230 | cls 0.1725 | box 0.2556 | lr 4.92e-04
  iter   8800 | epoch  10/100 | loss 0.5515 | feat 0.1229 | cls 0.1729 | box 0.2557 | lr 4.92e-04
  iter   8850 | epoch  10/100 | loss 0.5531 | feat 0.1231 | cls 0.1737 | box 0.2564 | lr 4.92e-04
  iter   8900 | epoch  10/100 | loss 0.5540 | feat 0.1232 | cls 0.1740 | box 0.2568 | lr 4.92e-04
  iter   8950 | epoch  10/100 | loss 0.5547 | feat 0.1232 | cls 0.1744 | box 0.2572 | lr 4.92e-04
  iter   9000 | epoch  10/100 | loss 0.5553 | feat 0.1232 | cls 0.1748 | box 0.2573 | lr 4.92e-04
  iter   9050 | epoch  10/100 | loss 0.5553 | feat 0.1232 | cls 0.1749 | box 0.2572 | lr 4.92e-04
[epoch  10] train_loss=0.5553 feat=0.1232 cls=0.1749 box=0.2572 (170.8s)
[epoch  10] validating...
[epoch  10] val_resp=0.6032 (cls=0.2774 box=0.3258) | val_mAP@50:95=0.2674 mAP@50=0.4582 (25.7s)
[epoch  10] new best (val_mAP@50:95 = 0.2674)
  iter   9100 | epoch  11/100 | loss 0.5366 | feat 0.1239 | cls 0.1636 | box 0.2491 | lr 4.92e-04
  iter   9150 | epoch  11/100 | loss 0.5368 | feat 0.1236 | cls 0.1643 | box 0.2489 | lr 4.92e-04
  iter   9200 | epoch  11/100 | loss 0.5382 | feat 0.1232 | cls 0.1655 | box 0.2495 | lr 4.91e-04
  iter   9250 | epoch  11/100 | loss 0.5385 | feat 0.1230 | cls 0.1659 | box 0.2497 | lr 4.91e-04
  iter   9300 | epoch  11/100 | loss 0.5382 | feat 0.1228 | cls 0.1658 | box 0.2496 | lr 4.91e-04
  iter   9350 | epoch  11/100 | loss 0.5401 | feat 0.1228 | cls 0.1666 | box 0.2507 | lr 4.91e-04
  iter   9400 | epoch  11/100 | loss 0.5400 | feat 0.1226 | cls 0.1669 | box 0.2505 | lr 4.91e-04
  iter   9450 | epoch  11/100 | loss 0.5402 | feat 0.1225 | cls 0.1670 | box 0.2506 | lr 4.91e-04
  iter   9500 | epoch  11/100 | loss 0.5407 | feat 0.1225 | cls 0.1672 | box 0.2510 | lr 4.91e-04
  iter   9550 | epoch  11/100 | loss 0.5412 | feat 0.1225 | cls 0.1676 | box 0.2511 | lr 4.91e-04
