Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 473,358
Topli start iz: /home/tomi/code/dipl/custom_models/student_0_5_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.0629
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   6950 | epoch   8/100 | loss 0.8415 | feat 0.1727 | cls 0.2834 | box 0.3853 | lr 4.96e-04
  iter   7000 | epoch   8/100 | loss 0.8417 | feat 0.1727 | cls 0.2837 | box 0.3853 | lr 4.96e-04
  iter   7050 | epoch   8/100 | loss 0.8427 | feat 0.1727 | cls 0.2842 | box 0.3858 | lr 4.96e-04
  iter   7100 | epoch   8/100 | loss 0.8437 | feat 0.1728 | cls 0.2847 | box 0.3862 | lr 4.96e-04
  iter   7150 | epoch   8/100 | loss 0.8437 | feat 0.1727 | cls 0.2847 | box 0.3863 | lr 4.96e-04
  iter   7200 | epoch   8/100 | loss 0.8440 | feat 0.1726 | cls 0.2850 | box 0.3863 | lr 4.95e-04
[epoch   8] train_loss=0.8443 feat=0.1726 cls=0.2852 box=0.3865 (173.7s)
  iter   7250 | epoch   9/100 | loss 0.8287 | feat 0.1709 | cls 0.2791 | box 0.3787 | lr 4.95e-04
  iter   7300 | epoch   9/100 | loss 0.8263 | feat 0.1719 | cls 0.2794 | box 0.3750 | lr 4.95e-04
  iter   7350 | epoch   9/100 | loss 0.8346 | feat 0.1717 | cls 0.2831 | box 0.3798 | lr 4.95e-04
  iter   7400 | epoch   9/100 | loss 0.8354 | feat 0.1722 | cls 0.2821 | box 0.3812 | lr 4.95e-04
  iter   7450 | epoch   9/100 | loss 0.8390 | feat 0.1722 | cls 0.2845 | box 0.3824 | lr 4.95e-04
  iter   7500 | epoch   9/100 | loss 0.8392 | feat 0.1721 | cls 0.2845 | box 0.3826 | lr 4.95e-04
  iter   7550 | epoch   9/100 | loss 0.8388 | feat 0.1721 | cls 0.2840 | box 0.3826 | lr 4.95e-04
  iter   7600 | epoch   9/100 | loss 0.8393 | feat 0.1721 | cls 0.2841 | box 0.3831 | lr 4.95e-04
  iter   7650 | epoch   9/100 | loss 0.8385 | feat 0.1723 | cls 0.2834 | box 0.3828 | lr 4.95e-04
  iter   7700 | epoch   9/100 | loss 0.8386 | feat 0.1724 | cls 0.2831 | box 0.3831 | lr 4.95e-04
  iter   7750 | epoch   9/100 | loss 0.8377 | feat 0.1723 | cls 0.2829 | box 0.3825 | lr 4.94e-04
  iter   7800 | epoch   9/100 | loss 0.8387 | feat 0.1723 | cls 0.2836 | box 0.3828 | lr 4.94e-04
  iter   7850 | epoch   9/100 | loss 0.8384 | feat 0.1723 | cls 0.2833 | box 0.3828 | lr 4.94e-04
